mapping_id,user_id,vehicle_id,ownership_start_date,ownership_type
121,376,310,2022-12-27,Co-owner
122,376,16,2022-08-26,Owner
123,252,122,2022-04-22,Owner
124,73,122,2022-08-21,Owner
125,215,444,2022-01-07,Co-owner
126,258,403,2021-11-13,Co-owner
127,21,364,2022-09-22,Fleet Driver
128,89,111,2022-02-11,Fleet Driver
129,58,72,2022-04-12,Owner
130,226,33,2021-10-04,Fleet Driver
131,319,335,2021-12-26,Fleet Driver
132,385,118,2022-07-05,Co-owner
133,346,227,2021-12-18,Fleet Driver
134,384,164,2021-10-09,Owner
135,62,37,2021-09-26,Owner
136,226,384,2022-07-23,Fleet Driver
137,217,126,2021-12-10,Co-owner
138,112,37,2022-11-18,Co-owner
139,311,431,2021-08-31,Owner
140,123,54,2021-09-29,Owner
141,274,258,2022-06-09,Owner
142,124,28,2021-11-09,Co-owner
143,375,393,2022-07-14,Fleet Driver
144,133,345,2021-11-02,Owner
145,14,121,2021-11-11,Fleet Driver
146,49,261,2021-11-17,Owner
147,125,361,2022-06-02,Co-owner
148,281,488,2022-06-25,Fleet Driver
149,48,347,2022-12-13,Owner
150,67,35,2022-04-20,Owner
151,156,39,2022-01-05,Co-owner
152,13,279,2022-11-18,Co-owner
153,24,69,2022-04-11,Co-owner
154,217,33,2022-05-29,Fleet Driver
155,282,241,2022-04-04,Co-owner
156,329,406,2022-02-12,Owner
157,95,389,2022-11-30,Co-owner
158,291,311,2022-03-14,Co-owner
159,6,108,2022-01-26,Owner
160,11,144,2022-09-27,Fleet Driver
161,160,341,2022-04-23,Co-owner
162,110,371,2022-09-19,Co-owner
163,157,67,2022-11-09,Owner
164,211,185,2022-11-29,Owner
165,11,151,2021-10-27,Co-owner
166,1,34,2022-12-26,Fleet Driver
167,150,57,2022-09-21,Owner
168,121,173,2022-06-28,Co-owner
169,382,234,2022-03-15,Co-owner
170,69,25,2021-12-28,Co-owner
171,390,500,2022-10-18,Fleet Driver
172,349,66,2022-01-19,Owner
173,306,492,2022-07-03,Co-owner
174,387,441,2022-01-12,Co-owner
175,67,337,2022-11-19,Co-owner
176,194,407,2021-11-28,Owner
177,364,268,2021-11-18,Fleet Driver
178,389,287,2021-09-07,Fleet Driver
179,284,255,2021-12-31,Fleet Driver
180,233,252,2022-05-30,Co-owner
181,377,225,2021-09-19,Co-owner
182,33,112,2022-04-20,Co-owner
183,238,337,2022-11-23,Owner
184,110,311,2022-04-02,Owner
185,273,498,2022-03-14,Owner
186,315,234,2022-02-06,Fleet Driver
187,83,22,2022-08-12,Fleet Driver
188,244,116,2022-12-13,Co-owner
189,185,60,2022-03-07,Co-owner
190,164,175,2021-12-19,Fleet Driver
191,210,476,2022-04-15,Owner
192,331,378,2021-11-23,Co-owner
193,371,115,2022-08-11,Owner
194,276,285,2021-09-28,Fleet Driver
195,16,256,2021-08-27,Fleet Driver
196,337,207,2021-11-29,Co-owner
197,373,347,2022-12-12,Owner
198,321,325,2021-11-20,Owner
199,179,449,2022-04-28,Co-owner
200,262,170,2022-02-18,Owner
201,292,55,2021-12-05,Fleet Driver
202,327,167,2022-09-01,Fleet Driver
203,201,369,2022-10-22,Owner
204,186,462,2022-08-12,Co-owner
205,308,98,2021-12-05,Owner
206,299,94,2022-05-17,Owner
207,346,289,2022-07-24,Co-owner
208,16,483,2022-06-05,Owner
209,265,161,2021-10-25,Co-owner
210,234,5,2022-10-22,Owner
211,379,240,2021-08-26,Fleet Driver
212,39,394,2022-07-04,Owner
213,235,287,2022-01-30,Co-owner
214,96,29,2022-01-15,Co-owner
215,184,350,2022-02-03,Co-owner
216,369,173,2021-12-11,Owner
217,345,164,2022-08-18,Co-owner
218,389,435,2022-12-14,Co-owner
219,389,481,2021-09-18,Fleet Driver
220,363,304,2022-01-20,Co-owner
221,234,240,2022-01-09,Fleet Driver
222,270,276,2021-08-22,Fleet Driver
223,85,330,2021-12-31,Fleet Driver
224,70,500,2021-08-21,Owner
225,391,474,2022-12-16,Fleet Driver
226,20,234,2021-11-28,Owner
227,348,342,2022-12-28,Co-owner
228,12,394,2021-12-10,Fleet Driver
229,159,254,2021-12-08,Owner
230,64,401,2022-10-05,Co-owner
231,207,55,2022-01-14,Co-owner
232,188,343,2022-04-25,Fleet Driver
233,355,8,2021-10-02,Co-owner
234,49,483,2021-10-04,Owner
235,356,160,2022-03-25,Co-owner
236,210,248,2022-11-21,Fleet Driver
237,215,132,2021-09-02,Co-owner
238,77,492,2022-05-25,Owner
239,395,150,2022-08-01,Co-owner
240,31,357,2022-08-22,Fleet Driver
241,281,213,2022-05-06,Owner
242,59,413,2022-12-24,Owner
243,258,238,2022-05-08,Owner
244,119,125,2022-10-13,Co-owner
245,238,398,2022-12-08,Fleet Driver
246,147,338,2022-08-04,Owner
247,387,15,2022-05-09,Owner
248,69,158,2021-10-28,Co-owner
249,338,217,2021-12-02,Fleet Driver
250,290,315,2021-10-11,Co-owner
251,337,457,2022-08-23,Fleet Driver
252,348,31,2021-12-11,Owner
253,328,398,2022-12-03,Co-owner
254,117,263,2022-11-11,Co-owner
255,227,320,2022-03-03,Fleet Driver
256,257,478,2022-03-05,Fleet Driver
257,74,134,2022-06-09,Fleet Driver
258,83,146,2022-05-07,Owner
259,145,438,2022-04-06,Owner
260,54,476,2021-09-10,Fleet Driver
261,99,31,2022-11-15,Fleet Driver
262,219,394,2021-08-19,Co-owner
263,126,70,2022-08-28,Owner
264,136,473,2022-07-03,Fleet Driver
265,195,418,2022-06-25,Owner
266,262,404,2022-10-30,Owner
267,238,189,2022-03-03,Owner
268,244,30,2022-12-21,Owner
269,139,124,2021-09-26,Co-owner
270,139,102,2021-12-24,Owner
271,182,455,2022-06-20,Fleet Driver
272,241,152,2022-12-18,Fleet Driver
273,170,108,2022-06-21,Owner
274,162,47,2021-10-10,Fleet Driver
275,344,80,2022-09-18,Owner
276,38,421,2022-07-13,Co-owner
277,56,327,2022-11-28,Owner
278,304,429,2021-09-17,Owner
279,328,71,2022-12-18,Co-owner
280,6,251,2022-11-10,Owner
281,378,206,2022-02-03,Fleet Driver
282,105,28,2021-11-26,Owner
283,185,447,2022-10-28,Owner
284,39,346,2022-07-27,Co-owner
285,84,332,2021-10-16,Co-owner
286,225,335,2021-09-04,Owner
287,384,387,2022-06-28,Owner
288,287,136,2022-01-24,Owner
289,162,397,2022-05-29,Owner
290,64,427,2022-06-06,Owner
291,351,161,2022-01-24,Fleet Driver
292,293,367,2022-02-23,Co-owner
293,139,377,2022-10-21,Co-owner
294,360,44,2022-04-03,Co-owner
295,169,162,2022-09-16,Co-owner
296,391,397,2021-10-09,Co-owner
297,275,498,2022-10-15,Co-owner
298,272,66,2021-12-29,Fleet Driver
299,320,189,2022-12-02,Fleet Driver
300,55,139,2021-10-23,Fleet Driver
301,298,419,2021-10-22,Fleet Driver
302,160,496,2022-12-16,Owner
303,99,69,2022-09-24,Co-owner
304,285,190,2022-03-04,Owner
305,179,262,2022-12-04,Fleet Driver
306,106,486,2022-01-24,Fleet Driver
307,322,171,2021-10-10,Fleet Driver
308,88,261,2022-04-11,Owner
309,173,15,2021-09-14,Co-owner
310,162,24,2021-10-12,Co-owner
311,367,341,2022-04-16,Owner
312,300,352,2021-10-07,Fleet Driver
313,231,414,2022-09-15,Co-owner
314,133,404,2021-11-23,Co-owner
315,68,184,2022-10-01,Co-owner
316,361,360,2022-05-04,Co-owner
317,251,248,2022-08-25,Co-owner
318,399,466,2022-08-14,Fleet Driver
319,200,136,2021-11-21,Fleet Driver
320,126,18,2022-07-29,Co-owner
321,145,414,2022-12-05,Owner
322,223,5,2022-06-18,Fleet Driver
323,273,448,2022-04-15,Owner
324,200,153,2022-03-28,Co-owner
325,65,492,2021-12-18,Fleet Driver
326,235,187,2021-11-15,Co-owner
327,107,255,2022-05-10,Fleet Driver
328,117,403,2021-10-05,Fleet Driver
329,181,463,2022-02-02,Co-owner
330,335,412,2022-06-21,Owner
331,299,52,2022-10-22,Owner
332,12,454,2021-10-25,Co-owner
333,13,240,2022-10-13,Co-owner
334,130,415,2021-08-19,Co-owner
335,375,102,2022-02-27,Co-owner
336,23,48,2021-12-11,Co-owner
337,31,294,2021-11-01,Fleet Driver
338,114,73,2021-10-27,Fleet Driver
339,381,130,2022-05-07,Owner
340,226,289,2022-10-20,Co-owner
341,70,185,2022-01-24,Owner
342,362,245,2022-08-03,Owner
343,64,352,2022-06-14,Owner
344,112,68,2022-06-25,Owner
345,333,423,2022-09-05,Fleet Driver
346,349,355,2021-11-30,Fleet Driver
347,153,127,2022-01-21,Fleet Driver
348,306,261,2021-09-10,Fleet Driver
349,133,486,2022-08-18,Owner
350,236,286,2022-03-14,Co-owner
351,80,352,2021-09-15,Owner
352,219,47,2021-11-25,Co-owner
353,303,467,2022-08-19,Fleet Driver
354,213,372,2022-08-20,Co-owner
355,157,310,2022-01-09,Fleet Driver
356,182,365,2022-02-16,Co-owner
357,234,376,2022-04-17,Owner
358,89,230,2021-12-26,Owner
359,372,56,2022-04-24,Fleet Driver
360,148,349,2021-12-25,Fleet Driver
361,74,225,2021-12-24,Owner
362,271,118,2022-10-26,Owner
363,350,144,2021-09-27,Owner
364,83,110,2022-02-28,Owner
365,202,442,2022-01-26,Owner
366,244,199,2022-11-10,Co-owner
367,210,471,2021-11-10,Co-owner
368,364,16,2021-12-05,Fleet Driver
369,142,21,2022-08-12,Fleet Driver
370,200,173,2022-01-27,Co-owner
371,51,42,2022-10-10,Fleet Driver
372,194,119,2022-04-18,Owner
373,63,494,2022-12-24,Co-owner
374,4,481,2022-10-24,Fleet Driver
375,68,273,2021-12-30,Fleet Driver
376,83,20,2022-05-02,Fleet Driver
377,150,348,2022-02-10,Co-owner
378,301,183,2022-10-07,Fleet Driver
379,368,486,2022-10-24,Co-owner
380,400,477,2021-09-28,Co-owner
381,252,247,2021-11-21,Co-owner
382,94,106,2022-02-16,Owner
383,163,358,2022-08-19,Owner
384,386,118,2021-11-08,Fleet Driver
385,234,100,2021-12-23,Owner
386,367,226,2022-04-10,Owner
387,312,215,2021-12-03,Fleet Driver
388,297,96,2022-11-22,Co-owner
389,62,22,2022-12-26,Owner
390,195,1,2022-04-26,Co-owner
391,388,85,2022-11-28,Co-owner
392,100,458,2022-02-14,Fleet Driver
393,129,489,2022-01-10,Fleet Driver
394,198,490,2021-10-09,Fleet Driver
395,342,404,2022-06-20,Co-owner
396,111,448,2022-04-22,Owner
397,185,463,2022-07-03,Co-owner
398,128,58,2021-08-23,Owner
399,183,93,2022-12-30,Fleet Driver
400,291,287,2022-09-24,Owner
401,285,233,2022-09-10,Owner
402,341,415,2022-03-17,Co-owner
403,27,244,2022-02-17,Owner
404,120,240,2022-05-16,Owner
405,54,67,2022-02-22,Co-owner
406,99,456,2021-09-04,Co-owner
407,44,380,2022-07-26,Fleet Driver
408,175,27,2021-10-01,Owner
409,351,354,2022-05-14,Fleet Driver
410,192,311,2022-02-08,Fleet Driver
411,14,270,2022-10-17,Co-owner
412,279,367,2022-12-23,Owner
413,312,31,2022-05-05,Owner
414,89,15,2022-03-20,Fleet Driver
415,322,245,2022-11-19,Owner
416,386,63,2022-04-09,Fleet Driver
417,386,500,2022-08-12,Co-owner
418,93,126,2022-03-02,Fleet Driver
419,359,166,2022-03-16,Co-owner
420,396,20,2022-10-26,Owner
421,108,39,2021-11-11,Co-owner
422,318,465,2021-11-28,Fleet Driver
423,265,370,2022-05-09,Co-owner
424,59,236,2022-07-01,Co-owner
425,318,16,2022-09-22,Owner
426,101,8,2021-11-08,Fleet Driver
427,30,407,2022-05-24,Owner
428,310,145,2021-09-08,Owner
429,239,173,2022-12-26,Owner
430,376,144,2022-10-31,Owner
431,13,25,2022-05-19,Fleet Driver
432,321,280,2022-05-30,Co-owner
433,333,179,2022-04-12,Fleet Driver
434,249,167,2022-07-11,Fleet Driver
435,278,174,2021-09-02,Owner
436,301,174,2022-03-13,Owner
437,156,172,2022-12-10,Co-owner
438,317,425,2021-09-23,Co-owner
439,91,462,2022-08-27,Co-owner
440,212,319,2022-08-05,Fleet Driver
441,202,66,2022-05-18,Owner
442,257,220,2021-08-30,Co-owner
443,54,277,2021-09-22,Owner
444,148,393,2022-01-13,Owner
445,21,158,2021-11-21,Owner
446,334,284,2022-08-16,Fleet Driver
447,166,468,2022-12-09,Fleet Driver
448,353,133,2021-09-24,Co-owner
449,75,55,2022-04-27,Co-owner
450,134,340,2022-09-24,Co-owner
451,310,446,2022-09-20,Fleet Driver
452,147,55,2022-05-29,Fleet Driver
453,386,454,2022-06-22,Co-owner
454,132,496,2022-12-15,Co-owner
455,285,458,2022-01-19,Fleet Driver
456,345,450,2022-01-11,Co-owner
457,289,262,2021-12-21,Fleet Driver
458,185,273,2022-07-24,Co-owner
459,139,318,2022-11-24,Owner
460,28,203,2022-02-05,Co-owner
461,235,329,2022-10-16,Co-owner
462,149,487,2022-11-16,Fleet Driver
463,230,320,2022-09-03,Fleet Driver
464,297,231,2022-04-01,Fleet Driver
465,163,111,2022-05-14,Co-owner
466,27,38,2021-08-24,Owner
467,143,295,2022-09-15,Owner
468,221,380,2022-08-18,Co-owner
469,347,344,2022-03-02,Fleet Driver
470,76,475,2021-10-01,Co-owner
471,127,480,2022-05-22,Fleet Driver
472,8,139,2022-05-21,Owner
473,150,21,2022-04-29,Fleet Driver
474,302,103,2022-06-16,Co-owner
475,35,411,2022-04-16,Co-owner
476,192,202,2021-11-25,Fleet Driver
477,92,222,2021-09-28,Fleet Driver
478,302,72,2021-12-10,Owner
479,397,399,2021-09-07,Owner
480,343,497,2021-09-03,Fleet Driver
481,82,241,2021-09-01,Owner
482,176,398,2022-04-22,Owner
483,73,187,2022-06-16,Co-owner
484,95,38,2022-10-14,Owner
485,3,14,2022-03-25,Co-owner
486,235,338,2022-04-17,Fleet Driver
487,179,404,2022-03-07,Owner
488,189,120,2022-10-21,Fleet Driver
489,157,93,2022-07-11,Co-owner
490,195,11,2022-12-29,Fleet Driver
491,277,402,2021-12-27,Owner
492,171,470,2022-04-25,Fleet Driver
493,109,209,2022-02-01,Fleet Driver
494,24,358,2021-08-31,Owner
495,16,104,2021-09-27,Co-owner
496,126,421,2022-02-09,Co-owner
497,174,335,2022-09-27,Owner
498,302,264,2022-07-20,Co-owner
499,375,480,2022-04-02,Co-owner
500,316,456,2022-01-19,Fleet Driver
501,228,444,2021-12-29,Co-owner
502,15,378,2022-04-21,Owner
503,219,23,2022-12-20,Co-owner
504,140,481,2022-06-22,Owner
505,143,404,2022-09-01,Owner
506,228,17,2022-12-06,Co-owner
507,376,303,2022-11-22,Fleet Driver
508,339,250,2022-07-27,Co-owner
509,101,199,2022-03-21,Co-owner
510,43,339,2021-12-25,Fleet Driver
511,196,123,2022-04-19,Fleet Driver
512,235,224,2022-09-28,Owner
513,184,457,2022-05-02,Fleet Driver
514,251,410,2022-07-31,Owner
515,379,167,2022-08-24,Co-owner
516,257,224,2022-05-27,Owner
517,269,77,2022-08-06,Fleet Driver
518,371,256,2022-07-28,Owner
519,141,88,2022-04-26,Fleet Driver
520,186,452,2022-09-04,Fleet Driver
521,33,129,2022-11-07,Fleet Driver
522,258,257,2022-05-06,Owner
523,215,107,2022-01-04,Co-owner
524,352,293,2022-10-05,Owner
525,325,83,2022-10-24,Owner
526,366,113,2022-03-12,Fleet Driver
527,269,460,2021-10-28,Owner
528,63,161,2022-03-19,Owner
529,8,237,2022-01-09,Owner
530,109,441,2021-08-23,Owner
531,339,357,2022-12-29,Co-owner
532,368,140,2021-09-03,Fleet Driver
533,133,473,2021-11-28,Co-owner
534,215,233,2021-09-16,Co-owner
535,37,187,2021-11-03,Fleet Driver
536,137,57,2021-12-22,Co-owner
537,333,357,2022-06-21,Co-owner
538,4,152,2022-07-24,Co-owner
539,281,302,2021-10-30,Owner
540,296,44,2021-10-02,Owner
541,206,352,2021-11-08,Fleet Driver
542,159,190,2022-05-21,Fleet Driver
543,206,252,2021-09-17,Fleet Driver
544,231,385,2021-11-10,Co-owner
545,191,419,2022-05-04,Fleet Driver
546,222,198,2022-06-10,Co-owner
547,247,499,2022-06-14,Owner
548,288,181,2022-10-29,Owner
549,257,344,2021-12-20,Co-owner
550,329,72,2022-03-07,Co-owner
