session_id,vehicle_id,station_id,start_time,end_time,duration_minutes,energy_kwh,total_cost_inr,payment_method,session_status,user_rating
66,392,11,2024-05-08 11:39:00,2024-05-08 13:14:00,95,19.56,237.65,RFID Tag,Interrupted,3.0
67,392,131,2023-10-14 12:14:00,2023-10-14 14:56:00,162,14.68,197.59,RFID Tag,Interrupted,2.9
68,277,9,2024-05-29 11:25:00,2024-05-29 12:24:00,59,11.49,116.62,UPI,Failed,3.1
69,162,3,2023-01-13 21:13:00,2023-01-13 23:05:00,112,26.21,173.51,Debit Card,Interrupted,3.5
70,133,48,2024-07-15 08:15:00,2024-07-15 09:38:00,83,16.54,180.45,RFID Tag,Interrupted,2.5
71,256,109,2023-08-04 13:44:00,2023-08-04 15:34:00,110,18.22,244.88,Wallet,Interrupted,2.8
72,293,34,2024-08-12 21:14:00,2024-08-12 21:54:00,40,11.13,81.58,Credit Card,Failed,2.7
73,196,51,2023-05-30 23:09:00,2023-05-31 01:25:00,136,41.5,564.4,Credit Card,Interrupted,3.0
74,458,133,2024-06-30 23:20:00,2024-07-01 01:39:00,139,20.16,194.14,RFID Tag,Failed,1.2
75,51,42,2023-03-03 06:52:00,2023-03-03 08:12:00,80,16.07,83.08,QR Code,Completed,2.8
76,172,67,2024-01-05 11:35:00,2024-01-05 14:12:00,157,54.18,199.38,Debit Card,Interrupted,1.1
77,63,90,2024-11-26 19:12:00,2024-11-26 21:54:00,162,37.64,379.79,QR Code,Failed,1.7
78,400,73,2023-12-30 10:43:00,2023-12-30 13:08:00,145,29.63,400.89,QR Code,Interrupted,4.6
79,196,74,2024-04-19 20:09:00,2024-04-19 21:06:00,57,14.41,145.25,Debit Card,Interrupted,3.5
80,293,104,2023-03-15 02:10:00,2023-03-15 03:52:00,102,12.47,87.79,Debit Card,Failed,2.2
81,137,102,2023-10-05 14:49:00,2023-10-05 16:36:00,107,30.69,411.86,RFID Tag,Interrupted,2.7
82,95,6,2023-05-09 23:15:00,2023-05-10 00:34:00,79,27.48,349.55,QR Code,Failed,1.3
83,86,102,2023-04-16 03:04:00,2023-04-16 05:20:00,136,30.42,408.24,UPI,Interrupted,3.1
84,43,27,2023-09-26 19:09:00,2023-09-26 19:45:00,36,9.27,100.02,Wallet,Interrupted,1.9
85,378,73,2024-03-29 20:08:00,2024-03-29 20:56:00,48,10.41,140.85,Credit Card,Completed,1.1
86,183,84,2024-05-02 14:55:00,2024-05-02 17:28:00,153,52.94,902.1,RFID Tag,Interrupted,1.5
87,486,46,2024-08-28 19:29:00,2024-08-28 22:25:00,176,50.54,583.23,RFID Tag,Interrupted,3.1
88,328,80,2023-12-22 15:34:00,2023-12-22 16:47:00,73,22.25,270.12,Wallet,Interrupted,2.5
89,134,40,2023-11-07 00:00:00,2023-11-07 02:28:00,148,45.61,471.15,Credit Card,Interrupted,2.1
90,274,3,2024-12-05 15:48:00,2024-12-05 18:05:00,137,19.85,131.41,Wallet,Interrupted,3.4
91,408,2,2024-07-15 11:12:00,2024-07-15 13:12:00,120,39.52,540.24,Wallet,Interrupted,2.0
92,367,100,2024-01-23 07:16:00,2024-01-23 07:51:00,35,6.43,103.72,Credit Card,Failed,4.1
93,466,70,2023-10-19 20:47:00,2023-10-19 23:18:00,151,46.22,415.98,Wallet,Completed,4.4
94,94,35,2023-10-24 03:40:00,2023-10-24 05:51:00,131,32.18,472.4,Debit Card,Failed,3.5
95,97,83,2023-01-20 04:03:00,2023-01-20 06:34:00,151,8.61,118.39,UPI,Interrupted,2.1
96,367,113,2023-01-09 07:05:00,2023-01-09 07:58:00,53,2.9,46.75,Credit Card,Interrupted,2.7
97,403,128,2024-01-16 14:44:00,2024-01-16 15:07:00,23,3.56,18.97,Credit Card,Completed,2.1
98,201,19,2024-07-10 15:11:00,2024-07-10 16:15:00,64,21.35,293.78,Debit Card,Interrupted,4.3
99,63,64,2024-01-30 14:15:00,2024-01-30 14:38:00,23,2.6,23.01,QR Code,Completed,3.1
100,107,122,2024-02-03 21:19:00,2024-02-03 22:56:00,97,9.72,113.63,QR Code,Completed,4.0
101,282,134,2023-05-06 08:30:00,2023-05-06 11:28:00,178,25.74,147.75,Debit Card,Completed,4.5
102,112,29,2023-08-30 20:27:00,2023-08-30 22:05:00,98,5.37,64.23,Debit Card,Failed,1.5
103,405,63,2023-01-10 01:37:00,2023-01-10 03:53:00,136,36.45,138.51,Credit Card,Interrupted,4.1
104,128,41,2024-05-26 02:43:00,2024-05-26 05:36:00,173,27.19,252.32,QR Code,Completed,1.2
105,331,40,2024-12-19 17:50:00,2024-12-19 18:32:00,42,3.77,38.94,Credit Card,Interrupted,4.9
106,404,89,2024-03-25 23:12:00,2024-03-25 23:32:00,20,5.37,44.73,Debit Card,Failed,1.5
107,461,11,2024-05-11 22:28:00,2024-05-12 01:06:00,158,22.65,275.2,QR Code,Interrupted,1.8
108,96,90,2023-11-28 23:29:00,2023-11-29 00:54:00,85,27.6,278.48,RFID Tag,Failed,1.6
109,272,40,2024-04-05 09:52:00,2024-04-05 11:14:00,82,18.16,187.59,Wallet,Completed,4.1
110,260,98,2023-07-09 00:39:00,2023-07-09 02:27:00,108,31.94,471.12,Credit Card,Interrupted,3.9
111,338,100,2023-07-14 16:43:00,2023-07-14 19:05:00,142,41.53,669.88,Credit Card,Failed,2.1
112,210,83,2023-04-24 03:33:00,2023-04-24 04:05:00,32,2.04,28.05,Credit Card,Completed,4.5
113,104,28,2024-05-12 06:06:00,2024-05-12 06:29:00,23,5.31,84.96,Wallet,Failed,3.0
114,320,66,2023-02-20 11:14:00,2023-02-20 14:04:00,170,47.14,247.96,UPI,Completed,3.6
115,476,21,2024-04-24 20:03:00,2024-04-24 21:50:00,107,24.26,119.12,Wallet,Interrupted,4.2
116,30,69,2024-06-25 01:46:00,2024-06-25 02:19:00,33,10.37,84.72,UPI,Completed,4.8
117,50,26,2023-08-25 17:24:00,2023-08-25 18:27:00,63,7.0,40.18,QR Code,Completed,3.3
118,486,46,2024-07-25 23:35:00,2024-07-26 01:36:00,121,34.64,399.75,QR Code,Failed,2.4
119,235,110,2023-04-17 05:50:00,2023-04-17 06:51:00,61,13.67,174.02,RFID Tag,Interrupted,3.6
120,274,114,2023-12-27 10:35:00,2023-12-27 12:13:00,98,31.12,545.53,Wallet,Failed,2.7
121,372,83,2024-09-15 07:36:00,2024-09-15 10:10:00,154,18.13,249.29,RFID Tag,Failed,2.0
122,493,116,2024-04-03 12:00:00,2024-04-03 12:23:00,23,8.31,103.71,RFID Tag,Completed,3.1
123,456,78,2023-01-07 09:14:00,2023-01-07 10:23:00,69,22.15,387.62,UPI,Failed,4.3
124,471,131,2024-07-23 18:59:00,2024-07-23 21:40:00,161,15.94,214.55,UPI,Interrupted,2.4
125,71,68,2024-01-11 18:15:00,2024-01-11 19:29:00,74,9.7,107.38,Debit Card,Completed,3.3
126,292,56,2023-03-21 23:20:00,2023-03-22 01:38:00,138,14.46,82.71,QR Code,Failed,3.3
127,465,25,2024-09-01 20:19:00,2024-09-01 20:43:00,24,6.75,23.83,RFID Tag,Interrupted,1.3
128,29,86,2023-12-23 13:26:00,2023-12-23 14:11:00,45,14.64,136.74,Credit Card,Failed,3.6
129,309,3,2024-10-11 20:24:00,2024-10-11 20:52:00,28,4.1,27.14,UPI,Interrupted,3.2
130,77,84,2024-05-29 22:14:00,2024-05-29 23:08:00,54,3.56,60.66,QR Code,Interrupted,4.9
131,386,130,2023-04-03 07:27:00,2023-04-03 08:56:00,89,26.61,412.45,Credit Card,Completed,2.3
132,244,13,2024-07-15 12:16:00,2024-07-15 12:52:00,36,6.34,109.87,Wallet,Failed,1.5
133,70,124,2024-07-26 06:31:00,2024-07-26 08:27:00,116,29.76,110.71,Credit Card,Failed,3.5
134,377,135,2023-09-10 07:04:00,2023-09-10 08:27:00,83,24.57,238.82,Debit Card,Failed,4.7
135,46,29,2024-11-18 13:27:00,2024-11-18 15:15:00,108,17.31,207.03,Debit Card,Interrupted,3.4
136,13,79,2023-06-23 11:39:00,2023-06-23 13:47:00,128,31.66,425.83,Wallet,Completed,4.7
137,120,52,2024-12-02 11:09:00,2024-12-02 11:45:00,36,3.08,53.56,UPI,Completed,4.8
138,475,38,2023-10-22 00:21:00,2023-10-22 01:04:00,43,6.3,90.53,Wallet,Completed,2.3
139,379,55,2023-07-28 17:33:00,2023-07-28 18:54:00,81,18.13,138.51,RFID Tag,Failed,5.0
140,356,5,2024-01-21 18:57:00,2024-01-21 21:26:00,149,9.5,59.76,Credit Card,Completed,2.1
141,405,70,2023-02-24 14:41:00,2023-02-24 14:58:00,17,1.21,10.89,QR Code,Interrupted,3.7
142,468,93,2023-04-21 00:18:00,2023-04-21 02:11:00,113,13.92,131.13,Wallet,Failed,4.9
143,51,81,2024-05-11 19:34:00,2024-05-11 20:11:00,37,4.03,47.35,RFID Tag,Interrupted,3.2
144,365,6,2023-02-10 07:59:00,2023-02-10 10:29:00,150,21.98,279.59,Wallet,Interrupted,4.0
145,10,89,2024-12-01 11:22:00,2024-12-01 14:17:00,175,25.5,212.41,RFID Tag,Interrupted,4.2
146,321,66,2024-02-01 00:35:00,2024-02-01 02:01:00,86,10.44,54.91,Debit Card,Interrupted,3.6
147,45,98,2024-06-17 21:39:00,2024-06-18 00:34:00,175,46.79,690.15,Wallet,Completed,3.3
148,219,80,2024-09-11 10:28:00,2024-09-11 13:01:00,153,14.03,170.32,QR Code,Completed,3.3
149,351,52,2023-05-22 09:44:00,2023-05-22 12:13:00,149,50.37,875.93,Wallet,Completed,3.6
150,290,41,2023-11-22 02:35:00,2023-11-22 05:06:00,151,52.91,491.0,UPI,Completed,2.3
151,451,38,2023-01-31 10:56:00,2023-01-31 12:56:00,120,42.53,611.16,Debit Card,Interrupted,4.0
152,421,71,2023-06-05 06:06:00,2023-06-05 06:54:00,48,5.21,84.71,RFID Tag,Failed,2.1
153,291,60,2024-09-02 07:14:00,2024-09-02 07:35:00,21,3.44,57.28,QR Code,Interrupted,1.5
154,434,121,2024-12-30 20:23:00,2024-12-30 21:25:00,62,19.83,342.27,Wallet,Interrupted,1.6
155,99,58,2023-02-03 13:48:00,2023-02-03 14:06:00,18,6.17,56.46,Wallet,Completed,4.0
156,104,53,2023-03-09 05:59:00,2023-03-09 08:06:00,127,41.22,734.54,Wallet,Failed,2.3
157,235,64,2024-03-13 12:49:00,2024-03-13 13:14:00,25,6.06,53.63,Wallet,Failed,2.3
158,314,135,2024-10-18 22:50:00,2024-10-18 23:14:00,24,5.16,50.16,Wallet,Interrupted,4.3
159,22,63,2024-06-15 17:25:00,2024-06-15 17:50:00,25,5.67,21.55,RFID Tag,Failed,4.9
160,98,75,2024-03-26 12:56:00,2024-03-26 14:28:00,92,27.14,180.21,Debit Card,Interrupted,1.7
161,151,14,2024-12-07 16:57:00,2024-12-07 17:48:00,51,10.04,123.79,QR Code,Interrupted,1.4
162,257,29,2023-07-04 18:57:00,2023-07-04 21:31:00,154,14.3,171.03,Wallet,Interrupted,2.8
163,92,117,2024-08-27 22:57:00,2024-08-28 00:03:00,66,21.75,280.79,UPI,Interrupted,2.3
164,333,42,2023-05-07 02:07:00,2023-05-07 04:17:00,130,32.6,168.54,UPI,Failed,3.8
165,373,131,2024-09-18 05:24:00,2024-09-18 07:59:00,155,26.43,355.75,Credit Card,Interrupted,3.3
166,338,39,2023-06-16 04:11:00,2023-06-16 04:39:00,28,5.12,75.98,Debit Card,Failed,4.1
167,229,74,2024-10-03 05:07:00,2024-10-03 05:55:00,48,17.0,171.36,UPI,Failed,4.1
168,7,118,2024-05-24 15:34:00,2024-05-24 15:50:00,16,3.88,21.22,Wallet,Completed,1.9
169,338,122,2024-04-09 13:28:00,2024-04-09 14:03:00,35,8.41,98.31,UPI,Completed,4.5
170,143,54,2023-02-20 05:09:00,2023-02-20 05:38:00,29,7.45,54.09,UPI,Completed,4.4
171,342,77,2023-12-06 02:03:00,2023-12-06 02:45:00,42,7.65,97.54,Credit Card,Completed,3.7
172,313,46,2024-04-11 23:37:00,2024-04-12 01:24:00,107,36.91,425.94,UPI,Interrupted,2.3
173,460,98,2023-03-11 13:53:00,2023-03-11 16:28:00,155,10.94,161.36,Wallet,Completed,1.5
174,441,71,2023-12-04 16:26:00,2023-12-04 18:55:00,149,17.35,282.11,Credit Card,Failed,1.2
175,293,136,2023-03-31 15:46:00,2023-03-31 18:35:00,169,58.43,850.16,QR Code,Interrupted,2.7
176,435,82,2023-09-23 16:36:00,2023-09-23 19:30:00,174,28.2,196.84,Credit Card,Failed,3.3
177,267,128,2024-05-19 05:56:00,2024-05-19 08:47:00,171,21.15,112.73,Debit Card,Completed,1.0
178,13,120,2024-10-02 03:47:00,2024-10-02 04:55:00,68,20.62,180.63,Wallet,Interrupted,1.2
179,180,55,2023-01-12 20:12:00,2023-01-12 21:39:00,87,11.36,86.79,UPI,Interrupted,2.2
180,282,83,2023-01-07 03:43:00,2023-01-07 05:23:00,100,15.81,217.39,QR Code,Failed,3.5
181,15,45,2023-07-18 10:53:00,2023-07-18 12:34:00,101,34.55,433.26,Wallet,Interrupted,4.2
182,331,35,2024-05-08 04:40:00,2024-05-08 06:52:00,132,43.89,644.31,RFID Tag,Interrupted,2.8
183,417,106,2023-02-27 16:19:00,2023-02-27 18:58:00,159,44.45,734.76,Debit Card,Failed,3.1
184,107,85,2023-12-29 02:09:00,2023-12-29 03:35:00,86,27.2,407.73,Debit Card,Interrupted,3.5
185,432,43,2024-08-07 19:24:00,2024-08-07 20:26:00,62,14.79,220.37,Debit Card,Failed,4.4
186,364,9,2023-10-06 13:05:00,2023-10-06 15:27:00,142,46.54,472.38,Debit Card,Interrupted,4.3
187,155,56,2024-06-21 09:11:00,2024-06-21 09:54:00,43,7.25,41.47,UPI,Completed,4.7
188,228,130,2023-01-26 15:57:00,2023-01-26 18:20:00,143,14.13,219.02,Debit Card,Interrupted,3.9
189,269,80,2023-12-02 04:49:00,2023-12-02 05:29:00,40,12.41,150.66,RFID Tag,Failed,5.0
190,106,10,2024-04-15 12:45:00,2024-04-15 15:13:00,148,12.83,230.43,Debit Card,Completed,3.7
191,305,23,2023-12-08 14:56:00,2023-12-08 15:22:00,26,2.15,15.31,QR Code,Failed,2.2
192,296,80,2024-10-16 06:20:00,2024-10-16 07:26:00,66,7.32,88.86,Debit Card,Failed,2.3
193,226,31,2023-10-07 04:10:00,2023-10-07 05:35:00,85,7.33,82.83,RFID Tag,Failed,3.1
194,106,90,2024-07-16 10:17:00,2024-07-16 11:08:00,51,17.78,179.4,Debit Card,Failed,2.0
195,37,80,2024-09-19 10:34:00,2024-09-19 12:42:00,128,8.46,102.7,UPI,Interrupted,4.6
196,26,28,2024-01-28 01:05:00,2024-01-28 03:09:00,124,21.59,345.44,QR Code,Failed,4.6
197,323,115,2024-09-23 11:19:00,2024-09-23 12:59:00,100,30.89,409.6,QR Code,Failed,4.2
198,41,120,2024-08-04 04:05:00,2024-08-04 06:19:00,134,10.83,94.87,Debit Card,Failed,3.6
199,393,120,2024-04-26 07:14:00,2024-04-26 08:05:00,51,16.46,144.19,RFID Tag,Interrupted,4.7
200,201,47,2024-12-17 21:21:00,2024-12-17 22:59:00,98,18.97,145.31,UPI,Completed,2.9
201,180,123,2024-04-17 05:18:00,2024-04-17 07:02:00,104,25.11,188.83,Credit Card,Failed,1.4
202,419,28,2023-11-30 17:41:00,2023-11-30 18:14:00,33,9.93,158.88,RFID Tag,Interrupted,2.6
203,212,62,2024-09-27 07:35:00,2024-09-27 08:30:00,55,19.71,283.04,Wallet,Completed,2.4
204,417,111,2024-03-21 18:50:00,2024-03-21 20:32:00,102,22.69,338.76,Credit Card,Completed,3.7
205,40,125,2023-04-28 18:38:00,2023-04-28 20:51:00,133,20.35,195.36,UPI,Interrupted,1.7
206,490,104,2023-03-13 19:06:00,2023-03-13 21:53:00,167,49.14,345.95,Wallet,Interrupted,3.0
207,339,16,2023-04-03 06:52:00,2023-04-03 07:42:00,50,16.55,74.48,QR Code,Completed,4.0
208,339,39,2024-04-08 17:18:00,2024-04-08 19:12:00,114,27.92,414.33,Wallet,Completed,1.8
209,450,82,2023-11-03 18:50:00,2023-11-03 20:22:00,92,31.36,218.89,Wallet,Failed,4.9
210,177,23,2024-08-19 00:39:00,2024-08-19 03:04:00,145,25.81,183.77,Credit Card,Interrupted,1.2
211,462,14,2023-01-01 22:35:00,2023-01-02 00:21:00,106,8.98,110.72,Debit Card,Completed,1.9
212,360,101,2024-10-02 10:45:00,2024-10-02 12:37:00,112,20.0,265.6,Wallet,Failed,1.8
213,89,122,2023-05-23 06:35:00,2023-05-23 08:28:00,113,35.83,418.85,Debit Card,Interrupted,1.6
214,447,33,2023-05-18 00:04:00,2023-05-18 03:04:00,180,9.9,51.18,QR Code,Interrupted,3.6
215,500,35,2023-03-28 04:41:00,2023-03-28 06:42:00,121,39.01,572.67,QR Code,Failed,4.7
216,320,47,2024-04-10 16:27:00,2024-04-10 19:03:00,156,48.31,370.05,Wallet,Interrupted,1.9
217,218,2,2024-08-14 15:54:00,2024-08-14 17:09:00,75,20.66,282.42,Debit Card,Interrupted,4.7
218,296,94,2023-02-04 01:36:00,2023-02-04 03:54:00,138,37.7,291.42,UPI,Failed,2.9
219,354,21,2023-05-26 23:46:00,2023-05-27 02:15:00,149,53.86,264.45,Debit Card,Interrupted,3.1
220,268,23,2023-09-09 15:40:00,2023-09-09 16:14:00,34,9.07,64.58,RFID Tag,Failed,2.2
221,28,88,2024-07-01 00:30:00,2024-07-01 02:41:00,131,27.82,306.58,Wallet,Failed,3.9
222,216,91,2023-10-29 09:10:00,2023-10-29 09:34:00,24,6.48,56.7,RFID Tag,Failed,2.2
223,402,67,2023-03-04 20:30:00,2023-03-04 23:13:00,163,16.88,62.12,UPI,Failed,5.0
224,415,7,2023-10-21 15:05:00,2023-10-21 15:52:00,47,9.87,138.87,Debit Card,Interrupted,1.5
225,144,71,2023-09-21 00:47:00,2023-09-21 01:30:00,43,10.37,168.62,RFID Tag,Failed,1.6
226,229,95,2023-06-29 08:50:00,2023-06-29 10:05:00,75,15.27,95.59,RFID Tag,Completed,2.4
227,44,38,2024-09-01 04:53:00,2024-09-01 07:14:00,141,40.66,584.28,Wallet,Interrupted,2.0
228,226,43,2023-08-04 18:46:00,2023-08-04 20:29:00,103,6.92,103.11,Debit Card,Completed,1.2
229,238,103,2024-05-02 09:30:00,2024-05-02 12:01:00,151,18.72,110.64,QR Code,Failed,2.6
230,135,38,2024-06-27 13:00:00,2024-06-27 14:28:00,88,30.24,434.55,Wallet,Interrupted,3.7
231,493,136,2024-11-30 01:06:00,2024-11-30 03:37:00,151,38.03,553.34,Wallet,Failed,4.7
232,440,70,2023-12-10 08:17:00,2023-12-10 08:57:00,40,5.23,47.07,RFID Tag,Interrupted,2.8
233,346,62,2024-11-19 18:49:00,2024-11-19 19:53:00,64,13.74,197.31,QR Code,Failed,5.0
234,161,3,2024-11-19 00:53:00,2024-11-19 01:25:00,32,1.72,11.39,UPI,Failed,1.4
235,229,90,2023-08-13 23:18:00,2023-08-14 00:37:00,79,8.78,88.59,UPI,Failed,1.4
236,481,56,2024-09-05 20:07:00,2024-09-05 20:52:00,45,3.48,19.91,RFID Tag,Completed,2.5
237,392,48,2023-04-24 22:11:00,2023-04-24 23:30:00,79,11.32,123.5,QR Code,Completed,3.6
238,473,71,2024-03-13 22:57:00,2024-03-14 00:34:00,97,12.75,207.32,UPI,Interrupted,4.1
239,196,100,2023-12-07 01:16:00,2023-12-07 02:38:00,82,8.72,140.65,UPI,Interrupted,4.9
240,103,101,2023-07-02 20:31:00,2023-07-02 21:13:00,42,4.01,53.25,Wallet,Completed,3.5
241,55,114,2023-09-23 03:02:00,2023-09-23 03:35:00,33,2.39,41.9,QR Code,Interrupted,4.1
242,10,128,2023-06-02 20:40:00,2023-06-02 20:55:00,15,5.18,27.61,QR Code,Interrupted,2.1
243,359,85,2024-02-05 18:00:00,2024-02-05 20:26:00,146,40.01,599.75,Wallet,Interrupted,2.7
244,433,18,2024-07-07 07:00:00,2024-07-07 08:53:00,113,39.79,658.13,Wallet,Completed,3.3
245,479,92,2023-12-08 21:19:00,2023-12-08 23:16:00,117,7.89,128.37,QR Code,Completed,2.5
246,437,88,2023-03-24 14:48:00,2023-03-24 16:17:00,89,22.71,250.26,Credit Card,Failed,1.2
